Date,Open,High,Low,Close,Adj Close,Volume
2012-01-11,31.000000,31.250000,30.000000,30.700001,23.041471,7446
2012-01-12,30.500000,31.500000,29.900000,31.150000,23.379213,10576
2012-01-13,31.900000,31.900000,30.400000,30.850000,23.154051,4759
2012-01-16,30.250000,31.900000,30.250000,30.700001,23.041471,4590
2012-01-17,31.950001,31.950001,30.700001,31.000000,23.266634,4752
2012-01-18,30.799999,30.950001,30.100000,30.250000,22.703735,4797
2012-01-19,31.549999,31.549999,30.150000,30.250000,22.703735,4566
2012-01-20,31.350000,31.350000,30.000000,30.450001,22.853844,4753
2012-01-23,30.799999,30.799999,29.799999,30.350000,22.778784,8511
2012-01-24,30.200001,30.600000,29.650000,30.150000,22.628679,5333
2012-01-25,30.549999,30.900000,30.000000,30.200001,22.666206,4429
2012-01-27,30.400000,31.000000,30.299999,30.700001,23.041471,11502
2012-01-30,31.000000,31.100000,30.250000,30.350000,22.778784,3454
2012-01-31,30.850000,30.900000,30.000000,30.049999,22.553623,6283
2012-02-01,30.049999,31.000000,30.049999,30.600000,22.966421,6528
2012-02-02,31.350000,31.350000,30.200001,30.850000,23.154051,17499
2012-02-03,30.900000,31.299999,30.650000,31.000000,23.266634,6987
2012-02-06,30.799999,31.500000,30.799999,31.250000,23.454271,10788
2012-02-07,30.700001,31.500000,30.600000,30.750000,23.079002,6126
2012-02-08,31.250000,31.400000,30.700001,31.350000,23.529325,21136
2012-02-09,31.549999,33.400002,31.100000,32.700001,24.542545,31658
2012-02-10,32.049999,35.750000,32.049999,34.900002,26.193731,81053
2012-02-13,34.099998,34.099998,32.000000,32.500000,24.392439,37472
2012-02-14,32.900002,33.700001,32.500000,32.700001,24.542545,10416
2012-02-15,32.849998,33.500000,32.599998,32.799999,24.617601,12169
2012-02-16,32.599998,33.250000,32.599998,33.000000,24.767710,7189
2012-02-17,32.700001,34.900002,32.700001,33.200001,24.917814,13517
2012-02-21,33.200001,33.200001,31.100000,32.799999,24.617601,19521
2012-02-22,33.000000,33.450001,31.799999,32.250000,24.204805,10045
2012-02-23,32.000000,32.000000,30.400000,31.299999,23.491796,8550
2012-02-24,30.650000,32.200001,30.650000,31.100000,23.341686,5100
2012-02-27,31.950001,31.950001,29.750000,29.900000,22.441042,6747
2012-02-28,30.950001,31.299999,29.200001,30.000000,22.516102,7455
2012-02-29,31.000000,31.000000,30.400000,30.750000,23.079002,5124
2012-03-01,30.950001,31.450001,30.000000,30.950001,23.229107,5049
2012-03-02,31.400000,31.400000,30.400000,30.600000,22.966421,7009
2012-03-03,null,null,null,null,null,null
2012-03-05,30.500000,31.500000,30.500000,31.299999,23.491796,24298
2012-03-06,31.100000,31.100000,30.150000,30.350000,22.778784,19517
2012-03-07,30.000000,31.049999,29.150000,29.900000,22.441042,4007
2012-03-09,29.250000,30.799999,29.250000,30.100000,22.591156,3388
2012-03-12,30.000000,30.950001,30.000000,30.250000,22.703735,8155
2012-03-13,31.000000,31.200001,29.400000,31.000000,23.266634,8340
2012-03-14,30.600000,30.700001,30.150000,30.350000,22.778784,1750
2012-03-15,31.000000,31.100000,30.250000,30.250000,22.703735,5086
2012-03-16,31.350000,33.250000,31.000000,31.950001,23.979643,29081
2012-03-19,32.950001,35.299999,32.000000,34.799999,26.118675,61880
2012-03-20,34.200001,35.700001,33.000000,34.299999,25.743404,34336
2012-03-21,33.200001,34.500000,31.049999,33.349998,25.030396,21466
2012-03-22,33.750000,33.849998,32.599998,33.000000,24.767710,7048
2012-03-23,33.700001,33.700001,32.549999,33.200001,24.917814,6084
2012-03-26,33.950001,33.950001,32.000000,32.200001,24.167278,11519
2012-03-27,32.299999,32.650002,31.850000,32.349998,24.279858,5584
2012-03-28,32.299999,32.299999,30.850000,30.900000,23.191582,7100
2012-03-29,30.549999,32.200001,30.100000,31.950001,23.979643,5667
2012-03-30,32.000000,33.299999,31.500000,32.250000,24.204805,6566
2012-04-02,31.600000,32.700001,31.600000,32.049999,24.054699,1924
2012-04-03,32.700001,32.700001,31.750000,32.150002,24.129751,5546
2012-04-04,32.049999,33.200001,31.700001,33.000000,24.767710,1514
2012-04-09,33.000000,33.250000,31.650000,33.049999,24.805233,4034
2012-04-10,33.000000,33.000000,31.299999,31.650000,23.754486,4974
2012-04-11,32.750000,32.750000,31.299999,32.349998,24.279858,1828
2012-04-12,32.299999,32.549999,31.150000,31.700001,23.792013,4913
2012-04-13,32.400002,32.400002,31.400000,31.799999,23.867065,5358
2012-04-16,32.900002,32.900002,31.400000,31.850000,23.904593,4544
2012-04-17,32.150002,34.549999,32.150002,33.950001,25.480717,26622
2012-04-18,34.000000,34.000000,32.849998,33.000000,24.767710,6289
2012-04-19,33.750000,33.750000,32.400002,33.049999,24.805233,7047
2012-04-20,33.500000,34.000000,32.549999,33.599998,25.218029,7788
2012-04-23,34.900002,36.900002,34.000000,35.400002,26.568998,89844
2012-04-24,35.000000,35.599998,34.250000,35.200001,26.418890,16642
2012-04-25,35.299999,35.299999,34.099998,34.450001,25.855986,7754
2012-04-26,34.000000,35.000000,33.200001,34.299999,25.743404,9209
2012-04-27,34.500000,34.650002,33.099998,33.250000,24.955343,3967
2012-04-30,33.299999,34.500000,33.099998,33.400002,25.067924,6767
2012-05-02,33.400002,34.450001,33.400002,34.349998,25.780930,7780
2012-05-03,34.500000,35.250000,33.900002,35.049999,26.306309,13422
2012-05-04,35.250000,35.250000,33.750000,34.700001,26.043617,7807
2012-05-07,34.599998,34.599998,33.400002,34.250000,25.705875,11538
2012-05-08,34.900002,34.900002,33.500000,34.099998,25.593296,7795
2012-05-09,33.000000,34.450001,32.150002,33.450001,25.105452,8050
2012-05-10,33.900002,33.900002,32.750000,33.049999,24.805233,5458
2012-05-11,32.500000,34.900002,32.450001,34.299999,25.743404,33019
2012-05-14,34.500000,35.500000,33.349998,33.849998,25.405664,21615
2012-05-15,34.200001,34.200001,32.049999,32.450001,24.354912,16329
2012-05-16,32.900002,32.900002,32.099998,32.450001,24.354912,7220
2012-05-17,33.000000,33.150002,31.799999,32.299999,24.242331,14459
2012-05-18,32.000000,32.450001,31.450001,32.150002,24.129751,17082
2012-05-21,32.500000,32.950001,31.799999,32.099998,24.092222,13566
2012-05-22,33.000000,33.000000,32.000000,32.299999,24.242331,18501
2012-05-23,32.599998,32.599998,31.500000,32.000000,24.017172,9036
2012-05-24,32.099998,32.500000,32.099998,32.250000,24.204805,985
2012-05-25,33.000000,33.000000,30.549999,32.150002,24.129751,13807
2012-05-28,32.400002,32.900002,31.950001,32.099998,24.092222,10524
2012-05-29,32.599998,32.750000,32.000000,32.349998,24.279858,5226
2012-05-30,32.000000,32.400002,31.500000,31.900000,23.942118,4310
2012-05-31,32.349998,32.349998,31.000000,31.250000,23.454271,4892
2012-06-01,32.549999,32.549999,30.600000,30.950001,23.229107,7371
2012-06-04,31.650000,31.650000,30.000000,30.049999,22.553623,13483
2012-06-05,32.450001,32.650002,30.549999,31.049999,23.304159,11745
2012-06-06,31.750000,32.400002,30.900000,31.900000,23.942118,8167
2012-06-07,32.000000,32.500000,31.000000,31.400000,23.566847,18842
2012-06-08,31.500000,31.900000,29.700001,30.150000,22.628679,29546
2012-06-11,31.700001,31.700001,29.049999,30.049999,22.553623,26149
2012-06-12,30.500000,31.000000,30.000000,30.850000,23.154051,3861
2012-06-13,31.049999,31.600000,30.150000,31.049999,23.304159,10536
2012-06-14,31.100000,32.000000,30.200001,30.950001,23.229107,16137
2012-06-15,31.400000,31.549999,30.549999,31.299999,23.491796,4126
2012-06-18,31.299999,31.650000,30.000000,30.299999,22.741257,7544
2012-06-19,30.299999,30.700001,30.200001,30.250000,22.703735,3708
