date,headline_text,open,high,low,close,adj close,volume
2020-02-26,New-age sat Gisat-1 that can constantly watch India to be launched on March 5,44.400002,47.25,42.5,44.900002,44.550858,72917.0
2020-02-27,Proscribed Crimean ministers' trip to India during Trump visit riles US,46.0,46.799999,41.799999,42.650002,42.318356,125841.0
2020-02-28,Indians dial up nearly 12GB a month,42.75,42.75,38.0,38.400002,38.101402,47348.0
2020-03-02,It is important to under-promise; over-deliver: Cognizant CEO,38.599998,41.450001,36.799999,37.650002,37.357235,37506.0
2020-03-03,Soft raw material prices spell hope; corona may play spoiler for Motown,37.099998,38.5,36.299999,37.150002,36.861122,41536.0
2020-03-04,SC annuls Orchid Pharma sale plea; Accord Life suffers setback,38.0,38.349998,36.900002,37.0,36.712288,17902.0
2020-03-05,For first time post August 5; social media ban lifted in Jammu and Kashmir,37.049999,41.25,36.099998,38.450001,38.151012,37179.0
2020-03-06,How India's ballet boys are dancing their way to their dreams,37.0,37.349998,35.400002,36.75,36.46423,27518.0
2020-03-09,Mutual funds ask investors to change Yes Bank account mandate,36.0,36.0,33.599998,34.450001,34.182117,31682.0
2020-03-11,MP political crisis: How the numbers stack up,34.400002,35.5,33.650002,34.099998,33.834835,22183.0
2020-03-12,Yes Bank case: ED gets 5 days more to quiz Kapoor on 78 family firms,33.0,33.0,29.299999,30.15,29.915552,49814.0
2020-03-13,Domestic air fares see a dip as wary travellers keep away on corona scare,28.0,30.5,24.5,29.200001,28.97294,33370.0
2020-03-16,Chamber seeks relaxation on GST filings; advance tax,29.4,29.4,25.25,25.5,25.301712,34022.0
2020-03-17,Anti-CAA protests in Indonesia could be on the wane,25.549999,27.75,25.5,26.15,25.946657,20585.0
2020-03-18,Coronavirus: 63-year-old man is India's 3rd death; first in Maharashtra; another critical,26.25,27.299999,25.6,25.9,25.698601,13089.0
2020-03-19,Coronavirus: Parliamentary panel of transport; tourism hold meet,26.299999,26.299999,24.1,24.299999,24.111042,27765.0
2020-03-20,Coronavirus scare drives up interest in rental cars,24.299999,26.700001,24.299999,26.450001,26.244326,18853.0
2020-03-23,India Inc steps up to fund fight against coronavirus,24.15,25.299999,23.85,23.85,23.664543,29740.0
2020-03-24,Covid-19 puts huge BS4 vehicle stockin jeopardy,25.0,25.0,23.0,23.75,23.565319,9226.0
2020-03-25,Covid-19: Census Houselisting phase; NPR updation postponed until further orders,24.049999,24.049999,22.0,23.15,22.969984,17063.0
2020-03-26,Banks offer emergency salary; business loans,25.450001,25.450001,23.450001,24.549999,24.359098,31778.0
2020-03-27,FY21 GDP growth may crash to 3-decade low on Covid-19,24.75,26.35,24.1,24.700001,24.507933,12738.0
2020-03-30,E-tail to take $1 billion hit in lockdown,24.0,24.700001,22.5,23.450001,23.267653,11706.0
2020-03-31,Equitas SFB misses March 31 IPO listing deadline,25.35,25.35,23.15,23.549999,23.366875,38994.0
2020-04-01,HipBar offers digital help to overcome withdrawal symptoms & lockdown blues,24.5,25.75,24.049999,24.65,24.458321,29118.0
2020-04-03,Two-wheeler sales in March: Hero; Bajaj; TVS; Royal Enfield plunge; Honda survives scare,26.5,27.1,25.5,25.9,25.698601,96794.0
2020-04-07,MF investment; redemption time advanced,28.450001,28.450001,28.450001,28.450001,28.228773,24925.0
2020-04-08,Eco to shrink 4.5% in Q1FY21: ICRA,30.5,31.25,30.1,31.25,31.007,48790.0
2020-04-09,Car factories make ventilators and protective masks to fight Covid-19,32.75,32.799999,31.1,32.799999,32.544945,44186.0
2020-04-13,Farmers stare at bitter Baiskahi as Covid-19 hits in peak season,34.349998,34.400002,31.200001,31.4,31.155832,51908.0
2020-04-15,Tata may keep Ralf Speth in JLR's driver seat,31.4,32.849998,31.299999,31.5,31.255054,35048.0
2020-04-16,E-tailers may get to sell electronics from Apr 20,31.85,31.9,31.0,31.6,31.354279,12161.0
2020-04-17,Gold prices inch closer to Rs 50;000/10gm mark,32.049999,32.950001,31.1,31.549999,31.304667,35844.0
2020-04-20,Cognizant comes under 'Maze' ransomware attack,32.349998,32.349998,31.200001,31.9,31.651945,27331.0
2020-04-21,US benchmark WTI oil price closes at -$37.63/barrel,32.299999,32.849998,31.1,31.35,31.106222,71951.0
2020-04-22,Direct sellers take biz online amid lockdown,32.349998,32.349998,30.35,31.299999,31.05661,23903.0
2020-04-23,Government readies lifeline for producers as Brent hits 21-year low,31.9,32.450001,30.950001,31.4,31.155832,23588.0
2020-04-24,LIC HF cuts rates for select borrowers,31.450001,31.75,30.200001,30.65,30.411665,10635.0
2020-04-27,Top rated companies want to defer loan repayments,31.5,31.5,30.25,30.65,30.411665,5838.0
2020-04-28,Shriram Transport Finance provides moratorium for borrowers,31.75,32.049999,31.25,31.65,31.403889,35119.0
2020-04-29,Limited impact of Franklin MF scheme closure: Morgan Stanley,32.400002,32.400002,30.799999,31.049999,30.808554,19551.0
2020-04-30,Pharma cos rush to develop drugs for Covid-19 patients,31.5,31.950001,30.049999,31.1,30.858166,20726.0
2020-05-04,Many tech centre staff to WFH for 4-6 months: EY,30.15,31.0,29.700001,29.799999,29.568274,9758.0
2020-05-05,Covid-19: Rahul to discuss economy with Nobel Laureate Abhijit Banerjee,29.9,30.700001,29.1,29.35,29.121775,16164.0
2020-05-06,Cognizant to acquire Collaborative Solutions,29.549999,30.15,29.549999,29.9,29.667496,9255.0
2020-05-07,Liquor shares slump on duty hike,29.950001,30.0,29.15,29.549999,29.320217,4575.0
